numenc;grupo;material;servico;descricao_servico;unidade_medida;qtde_prevista
1310065136;REGULAMENTACAO, PLACAS DE;SENTIDO DE CIRCULAÇÃO DA VIA / PISTA;retirar;RETIRAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;VELOCIDADE MÁXIMA PERMITIDA - 40km/h;remanejar;REMANEJAR;un;1.00
1510011110;ADVERTENCIA,PLACAS DE;RUA SEM SAIDA;colocar;COLOCAR;un;1.00
1510011110;REGULAMENTACAO, PLACAS DE;MAO DUPLA;colocar;COLOCAR;un;1.00
1510011110;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR;retirar;RETIRAR;un;1.00
1510011110;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR;reposic;REPOSICIONAR;un;1.00
1510013113;ADVERTENCIA,PLACAS DE;RUA SEM SAIDA;retirar;RETIRAR;un;1.00
1510013113;REGULAMENTACAO, PLACAS DE;MAO DUPLA;retirar;RETIRAR;un;1.00
1510013113;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR;reposic;REPOSICIONAR;un;1.00
1510013113;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR;colocar;COLOCAR;un;1.00
1510059091;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";colocar;COLOCAR;pc;1.00
1510059091;OBRAS;;g.12.1;CONSTRUCAO DE REIBAXAMENTO DE GUIA E PASSEIO , CONFORME NORMA TIPO I-A E TIPO I - B.;un;1.00
1510059091;REGULAMENTACAO, PLACAS DE;ESTACIONAMENTO REGULAMENTADO- NA LINHA BRANCA - EXCLUSIVO DEFICIENTE FISICO- QUALQUER HORA-OBRIGATORIO CARTAO DEF. FÍSICO;colocar;COLOCAR;un;1.00
1510059091;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;5.40
1510059091;TINTA A FRIO;TINTA A FRIO;pint slg;PINTAR SIMBOLOS E LEGENDAS;m2;1.50
1510076123;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";colocar;COLOCAR;pc;1.00
1510076123;REGULAMENTACAO, PLACAS DE;ESTACIONAMENTO REGULAMENTADO - EMERGENCIA NA LINHA BRANCA - POR 15 MINUTOS - PISCA ALERTA ACESO -DOIS HORARIOS;colocar;COLOCAR;un;1.00
1510076123;TINTA A FRIO;TINTA A FRIO;pint slg;PINTAR SIMBOLOS E LEGENDAS;m2;1.90
1510076123;TINTA A FRIO;TINTA A FRIO;apagar;APAGAR;m2;0.52
1510076123;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;2.11
1510081127;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";colocar;COLOCAR;pc;1.00
1510081127;ESPECIAIS,PLACAS;Seja Breve no Embarque e Desembarque;colocar;COLOCAR;un;1.00
1510081127;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTACIONAR - NA LINHA AMARELA COM HORARIO;colocar;COLOCAR;un;1.00
1510081127;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;2.08
1510126112;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";colocar;COLOCAR;pc;1.00
1510126112;ESPECIAIS,PLACAS;Seja Breve no Embarque e Desembarque;colocar;COLOCAR;un;1.00
1510126112;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTACIONAR - NA LINHA AMARELA COM HORARIO;colocar;COLOCAR;un;1.00
1510126112;TINTA A FRIO;TINTA A FRIO;apagar;APAGAR;m2;2.48
1510126112;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;4.40
1510145087;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTADIONAR - NA LINHA AMARELA - COM HORARIO - CARGA E DESCARGA - PERMITIDA;colocar;COLOCAR;un;1.00
1510145087;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;4.40
1610046129;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTADIONAR - NA LINHA AMARELA - COM HORARIO - CARGA E DESCARGA - PERMITIDA;colocar;COLOCAR;un;1.00
1610046129;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;2.56
1610063120;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;3.10
1610070127;TINTA A FRIO;TINTA A FRIO;apagar;APAGAR;m2;0.60
1610070127;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;1.44
1710060107;BRAÇOS;"BANDEIRA SIMPLES ( ALTURA LIVRE = 4,5 M ) - BR PR 3"" X 3.15 M";retirar;RETIRAR;un;1.00
1710060107;BRAÇOS;"BRAÇO PROJETADO EM SPU ( ALTURA LIVRE = 4,5 M ) - BR 3"" X 2.70 M";colocar;COLOCAR;un;1.00
1710060107;ORIENTACAO,PLACAS DE;PLACA DE ORIENTACAO MODULADA;remanejar;REMANEJAR;un;2.00
1710063122;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";retirar;RETIRAR;pc;1.00
1710063122;ESPECIAIS,PLACAS;Seja Breve no Embarque e Desembarque;colocar;COLOCAR;un;1.00
1710063122;REGULAMENTACAO, PLACAS DE;Estacionamento Regulamentado - Na Linha Branca - Motocicleta;remanejar;REMANEJAR;un;1.00
1710063122;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTACIONAR;colocar;COLOCAR;un;3.00
1710063122;REGULAMENTACAO, PLACAS DE;Proibido Estacionar - 2ª a 6ª - 01 horário - Sábado - 01 horário - Início;retirar;RETIRAR;un;1.00
1710063122;REGULAMENTACAO, PLACAS DE;Proibido Estacionar - 2ª a 6ª - 01 horário - Sábado - 01 horário - Término;retirar;RETIRAR;un;1.00
1710063122;REGULAMENTACAO, PLACAS DE;Proibido Estacionar - Término;retirar;RETIRAR;un;1.00
1710063122;TINTA A FRIO;TINTA A FRIO;repint slg;REPINTAR SIMBOLOS E LEGENDAS;m2;0.86
1710063122;TINTA A FRIO;TINTA A FRIO;repint fxl;REPINTAR FAIXAS E LINHAS;m2;1.45
1710115092;EXTRUDADO;EXTRUDADO;pint fxl;PINTAR FAIXAS E LINHAS;m2;2.60
1710115092;EXTRUDADO;EXTRUDADO;apagar;APAGAR;m2;2.60
1710115092;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTACIONAR - NA LINHA AMARELA COM HORARIO;colocar;COLOCAR;un;1.00
1710116099;EXTRUDADO;EXTRUDADO;pint slg;PINTAR SIMBOLOS E LEGENDAS;m2;4.01
1710119098;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;3.00
1710119098;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710121092;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;4.00
1710121092;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;4.00
1710122099;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;3.00
1710122099;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;16.00
1710123095;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;4.00
1710123095;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;4.00
1710124091;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710124091;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710125098;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;5.00
1710125098;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710126094;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710126094;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710129093;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;3.00
1710129093;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;3.00
1710130091;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710130091;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710131098;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;7.00
1710131098;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;7.00
1710132094;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;3.00
1710132094;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710133090;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;8.00
1710133090;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710134097;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;3.00
1710134097;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;9.00
1710135093;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710135093;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;2.00
1710139099;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;4.00
1710139099;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;11.00
1710140097;CONVENCIONAIS,BRAÇOS;COLUNA EXTENSÍVEL;colocar;COLOCAR;un;2.00
1710140097;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710141093;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;6.00
1710141093;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710143096;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;4.00
1710143096;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;4.00
1710144092;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710144092;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;2.00
1710146095;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710146095;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;2.00
1710151099;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;4.00
1710151099;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;4.00
1710152095;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;3.00
1710152095;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;3.00
1710156090;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710156090;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;4.00
1710157097;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710157097;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;2.00
1710158093;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;2.00
1710158093;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;2.00
1710159090;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;4.00
1710159090;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710160098;CONVENCIONAIS,COLUNAS;COLUNA SIMPLES (REPETIDOR);colocar;COLOCAR;un;3.00
1710160098;LUMINARIA TRAV DE PEDESTRE;LUMINARIA PARA TRAVESSIA DE PEDESTRE;colocar;COLOCAR;un;8.00
1710164085;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";colocar;COLOCAR;pc;1.00
1710164085;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";retirar;RETIRAR;pc;1.00
1710164085;GRADIL RIGIDO MODULAR;GRM 1650 MM ( GRADIL RIGIDO MODULAR );colocar m;COLOCAR M;m;47.85
1710164085;GRADIL RIGIDO MODULAR;GRM 1650 MM ( GRADIL RIGIDO MODULAR );coloc un;COLOCAR UN;un;29.00
1710164085;GRADIL RIGIDO MODULAR;GRM 700 MM ( GRADIL RIGIDO MODULAR );coloc un;COLOCAR UN;un;3.00
1710164085;GRADIL RIGIDO MODULAR;GRM 700 MM ( GRADIL RIGIDO MODULAR );colocar m;COLOCAR M;m;2.10
1710164085;OBRAS;;g.7.5.2;CONSTRUCAO DE SARJETAS COM LARGURA ENTRE 30CM E 40CM;m;35.00
1710164085;OBRAS;;g.12.1;CONSTRUCAO DE REIBAXAMENTO DE GUIA E PASSEIO , CONFORME NORMA TIPO I-A E TIPO I - B.;un;1.00
1710164085;OBRAS;;g.8.5.2;PLANTACAO DE GRAMA COM FORNECIMENTO DE GRAMA  EM PLACAS OU MUDAS;m2;78.00
1710164085;OBRAS;;g.8.1;PAVIMENTO CIMENTADO DE 02 CM DE ESPESSURA INCLUSIVE REATERRO E BASE CONFORME SPT/TD/5/0008 REV. Z;m2;56.00
1710164085;OBRAS;;g.7.1;ARRANCAMENTO E REMOCAO DE GUIAS (SEM REAPROVEITAMENTO);m;26.00
1710164085;REGULAMENTACAO, PLACAS DE;Caminhão -  Permitido sem Cartão - 2ª a Sábado das 07 - 09h;remanejar;REMANEJAR;un;1.00
1710164085;REGULAMENTACAO, PLACAS DE;Estacionamento Regulamentado - Obrigatório Cartão Azul - 2ª a 6ª - 01 horário - Sábado - 01 horário;remanejar;REMANEJAR;un;1.00
1710164085;REGULAMENTACAO, PLACAS DE;Estacionamento Regulamentado - Obrigatório Cartão Azul - 2ª a 6ª - 01 horário - Sábado - 01 horário;retirar;RETIRAR;un;1.00
1710164085;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - TERMINO;retirar;RETIRAR;un;1.00
1710164085;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - TERMINO;colocar;COLOCAR;un;1.00
1910005053;ACESSORIOS TIPO CONVENCIONAIS;BOTOEIRA PARA PEDESTRES;retirar;RETIRAR;un;1.00
1910005053;ACESSORIOS TIPO CONVENCIONAIS;BOTOEIRA PARA PEDESTRES;colocar;COLOCAR;un;1.00
1910005053;ESPECIAIS,PLACAS;PARA ATRAVESSAR APERTE O BOTÃO;retirar;RETIRAR;un;1.00
1910005053;ESPECIAIS,PLACAS;PARA ATRAVESSAR APERTE O BOTÃO;colocar;COLOCAR;un;1.00
1910005053;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL PEDESTRE SEMCO;retirar;RETIRAR;un;1.00
1910005053;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL PEDESTRE SEMCO;colocar;COLOCAR;un;1.00
1910005053;OBRAS;;s.2;CONST BASE P/  POSTE DE 70X70X100MM, CONCR , C/ CURVA E DUTO PROLONG EM PVC D=100MM, COL DE CHUMBADOR ,  INCLUSIVE DEMOL DE PAV E BOTA FORA, ESCAV. E ACABAM DO TOPO DA BASE CONF SPT/IT/5/0005 REV.Z;un;1.00
1910015067;CONVENCIONAIS,BRAÇOS;BRAÃO PROJETADO PARA COLUNA 128 - SEMAFORICA;colocar;COLOCAR;un;1.00
1910015067;CONVENCIONAIS,GRUPOS FOCAIS;GRUPO FOCAL VEICULAR CONVENCIONAL 200 X 200 X 200 COM ANTEPARO (PROJETADO);colocar;COLOCAR;un;1.00
1910022055;CONVENCIONAIS,BRAÇOS;BRAÃO PROJETADO PARA COLUNA 128 - SEMAFORICA;colocar;COLOCAR;un;2.00
1910022055;CONVENCIONAIS,BRAÇOS;BRAÃO PROJETADO PARA COLUNA 128 - SEMAFORICA;retirar;RETIRAR;un;1.00
1910022055;CONVENCIONAIS,COLUNAS;COLUNA PARA BRAÇO PROJETADO;retirar;RETIRAR;un;1.00
1910022055;CONVENCIONAIS,GRUPOS FOCAIS;GRUPO FOCAL VEICULAR CONVENCIONAL 200 X 200 X 200 (REPETIDOR);retirar;RETIRAR;un;1.00
1910022055;CONVENCIONAIS,GRUPOS FOCAIS;GRUPO FOCAL VEICULAR CONVENCIONAL 200 X 200 X 200 COM ANTEPARO (PROJETADO);retirar;RETIRAR;un;1.00
1910022055;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL VEICULAR SEMCO 200 X 200 X 200 (POSTE COMPOSTO);colocar;COLOCAR;un;2.00
1910022055;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL VEICULAR SEMCO 200 X 200 X 200 (POSTE SIMPLES);retirar;RETIRAR;un;1.00
1910022055;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL VEICULAR SEMCO 200 X 200 X 200 (POSTE SIMPLES);colocar;COLOCAR;un;1.00
1910022055;OBRAS;;s.2;CONST BASE P/  POSTE DE 70X70X100MM, CONCR , C/ CURVA E DUTO PROLONG EM PVC D=100MM, COL DE CHUMBADOR ,  INCLUSIVE DEMOL DE PAV E BOTA FORA, ESCAV. E ACABAM DO TOPO DA BASE CONF SPT/IT/5/0005 REV.Z;un;2.00
1910022055;SEMCO,COLUNAS TIPO;POSTE COMPOSTO PARA BRAÇO SEMCO;colocar;COLOCAR;un;2.00
1910026093;ACESSORIOS TIPO CONVENCIONAIS;BOTOEIRA PARA PEDESTRES;retirar;RETIRAR;un;2.00
1910026093;ACESSORIOS TIPO CONVENCIONAIS;BOTOEIRA PARA PEDESTRES;colocar;COLOCAR;un;2.00
1910026093;EXTRUDADO;EXTRUDADO;pint fxl;PINTAR FAIXAS E LINHAS;m2;25.20
1910026093;EXTRUDADO;EXTRUDADO;apagar;APAGAR;m2;25.20
1910026093;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL VEICULAR SEMCO 200 X 200 X 200 (POSTE COMPOSTO);retirar;RETIRAR;un;2.00
1910026093;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL VEICULAR SEMCO 200 X 200 X 200 (POSTE COMPOSTO);colocar;COLOCAR;un;2.00
1910026093;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL VEICULAR SEMCO 200 X 200 X 200 (POSTE SIMPLES);retirar;RETIRAR;un;1.00
1910026093;GRUPOS FOCAIS TIPO SEMCO;GRUPO FOCAL VEICULAR SEMCO 200 X 200 X 200 (POSTE SIMPLES);colocar;COLOCAR;un;1.00
1910026093;HOT-SPRAY;HOT SPRAY;pint fxl;PINTAR FAIXAS E LINHAS;m2;1.00
1910026093;OBRAS;;g.8.1;PAVIMENTO CIMENTADO DE 02 CM DE ESPESSURA INCLUSIVE REATERRO E BASE CONFORME SPT/TD/5/0008 REV. Z;m2;2.00
1910026093;OBRAS;;s.2.1;DEMOLICAO DE BASE PARA POSTE;un;4.00
1910026093;OBRAS;;s.2;CONST BASE P/  POSTE DE 70X70X100MM, CONCR , C/ CURVA E DUTO PROLONG EM PVC D=100MM, COL DE CHUMBADOR ,  INCLUSIVE DEMOL DE PAV E BOTA FORA, ESCAV. E ACABAM DO TOPO DA BASE CONF SPT/IT/5/0005 REV.Z;un;3.00
1910026093;OBRAS;;g.7.4.1;CONSTRUCAO DE GUIAS APROVEITANDO AS GUIAS RETIRADAS.;m;4.00
1910026093;OBRAS;;s.7;FORMACAO EM LINHA 01 DUTO, D = 100 MM , MEDIDO POR METRO LINEAR DE LINHA. (INDEPENDENTE DO TIPO DE ACABAMENTO DO PISO);m;18.00
1910026093;OBRAS;;g.8.6;DEMOLICAO DE LEITO NAO CARROCAVEL DE MATERIAIS  PROVENIENTES DE CALCADAS E JARDINS (ENTULHOS) MEDIDO NO CORTE, INCLUSIVE CARGA,TRANSPORTE E DESCARGA.;m3;0.20
1910026093;OBRAS;;g.7.2;ARRANCAMENTO DE GUIAS PARA REAPROVEITAMENTO NO MESMO CANTEIRO.;m;4.00
1910026093;PLACA PARA BOTOEIRA;SINALIZAÇÃO VERTICAL INDICATIVA DE SERVIÇOS AUXILIARES - PEDESTRES;colocar;COLOCAR;un;2.00
1910026093;PLACA PARA BOTOEIRA;SINALIZAÇÃO VERTICAL INDICATIVA DE SERVIÇOS AUXILIARES - PEDESTRES;retirar;RETIRAR;un;2.00
